id,utterance,label,scenario,dataset_version
seed-0085,Go get the mail from the table.,motion_query,delivery_fetch,seed_v1
seed-0086,Extend your arm for a handshake.,motion_query,social_interaction_touch,seed_v1
seed-0087,Lower your arm slowly.,motion_query,stop_stay_safety,seed_v1
seed-0088,Are you saying I should start with the small task?,chat,clarification_confirmation,seed_v1
seed-0089,How do vaccines train the immune system?,chat,explanation_learning,seed_v1
seed-0090,Look at the person raising their hand.,motion_query,attention_and_gaze,seed_v1
seed-0091,Can you remember that I prefer short answers?,chat,personalization_memory,seed_v1
seed-0092,Did you understand my last question?,chat,clarification_confirmation,seed_v1
seed-0093,Use text only for this one.,chat,no_motion_instruction,seed_v1
seed-0094,Answer quietly without any gesture.,chat,no_motion_instruction,seed_v1
seed-0095,What did I say my favorite color was?,chat,personalization_memory,seed_v1
seed-0096,Go to the charging station.,motion_query,locomotion_basic,seed_v1
seed-0097,"If you could not move, how would you still help?",chat,hypothetical_scenarios,seed_v1
seed-0098,What should I say when someone gives me a gift?,chat,social_etiquette,seed_v1
seed-0099,Pass me the salt.,motion_query,kitchen_food_motion,seed_v1
seed-0100,Act out rowing a boat for the guessing game.,motion_query,games_play_motion,seed_v1
seed-0101,Is the room bright right now?,chat,sensor_status_verbal,seed_v1
seed-0102,Can you report the temperature if you know it?,chat,sensor_status_verbal,seed_v1
seed-0103,Orient yourself toward the charging dock.,motion_query,orientation_turning,seed_v1
seed-0104,Can you give me an example?,chat,clarification_confirmation,seed_v1
seed-0105,What is the freezing point of water in Celsius?,chat,factual_general_knowledge,seed_v1
seed-0106,Help me organize a study schedule for next week.,chat,planning_scheduling,seed_v1
seed-0107,Open and close your gripper.,motion_query,calibration_robot_control,seed_v1
seed-0108,How would you handle a noisy room?,chat,hypothetical_scenarios,seed_v1
seed-0109,Show a victory gesture when you win.,motion_query,games_play_motion,seed_v1
seed-0110,What book should I read if I like mystery stories?,chat,recommendations_preferences,seed_v1
seed-0111,Do a quick dance for the kids.,motion_query,dance_performance,seed_v1
seed-0112,Wipe the table.,motion_query,cleaning_tidying,seed_v1
seed-0113,Please walk to the doorway.,motion_query,locomotion_basic,seed_v1
seed-0114,Can you help me think about whether to switch majors?,chat,opinions_reflection,seed_v1
seed-0115,Stay still until I say go.,motion_query,stop_stay_safety,seed_v1
seed-0116,I only need a verbal response.,chat,no_motion_instruction,seed_v1
seed-0117,Can you nod if the answer is yes?,motion_query,yes_no_gestures,seed_v1
seed-0118,Shake my hand.,motion_query,social_interaction_touch,seed_v1
seed-0119,Can you act sleepy?,motion_query,expressive_emotion_gesture,seed_v1
seed-0120,When did the first airplane fly?,chat,factual_general_knowledge,seed_v1
seed-0121,Tell me the difference between a nod and a bow.,chat,action_capability_discussion,seed_v1
seed-0122,What is your battery level?,chat,sensor_status_verbal,seed_v1
seed-0123,Do what I do with my hands.,motion_query,imitation_mimicry,seed_v1
seed-0124,What have you learned about my morning routine?,chat,personalization_memory,seed_v1
seed-0125,Tidy the cables under the desk.,motion_query,cleaning_tidying,seed_v1
seed-0126,Clap the syllables for this word.,motion_query,classroom_motion,seed_v1
seed-0127,Help me write an email to my professor.,chat,work_study_assistance,seed_v1
seed-0128,What is 15 plus 28?,chat,math_calculation,seed_v1
seed-0129,Use body language to answer.,motion_query,ambiguous_but_action_required,seed_v1
seed-0130,Copy the way I point.,motion_query,imitation_mimicry,seed_v1
seed-0131,Please do a slow dance move.,motion_query,dance_performance,seed_v1
seed-0132,Can you point at the object you mean?,motion_query,pointing_reference,seed_v1
seed-0133,Hold the light over the book.,motion_query,accessibility_assistance_motion,seed_v1
seed-0134,Mirror my arm movement.,motion_query,imitation_mimicry,seed_v1
seed-0135,Hand the microphone to the next speaker.,motion_query,ceremony_presentation,seed_v1
seed-0136,Show me which button to press by pointing.,motion_query,pointing_reference,seed_v1
seed-0137,"I had a rough day, can we talk?",chat,emotional_support,seed_v1
seed-0138,Show me how to signal stop with your hand.,motion_query,demonstration_instructional,seed_v1
seed-0139,What is the best way to take notes?,chat,work_study_assistance,seed_v1
seed-0140,Show excitement without speaking.,motion_query,expressive_emotion_gesture,seed_v1
seed-0141,Can you help me think through a conflict with a friend?,chat,emotional_support,seed_v1
seed-0142,Where is the restroom on this floor?,chat,directions_navigation_verbal,seed_v1
seed-0143,What is a kind message I can send myself?,chat,emotional_support,seed_v1
seed-0144,Hand me the marker.,motion_query,object_manipulation,seed_v1
seed-0145,Why do leaves change color in autumn?,chat,explanation_learning,seed_v1
seed-0146,Summarize this meeting topic for me.,chat,work_study_assistance,seed_v1
seed-0147,What is the area of a rectangle that is 5 by 9 meters?,chat,math_calculation,seed_v1
seed-0148,Keep your camera pointed at the table.,motion_query,attention_and_gaze,seed_v1
seed-0149,Can you repeat that in simpler words?,chat,clarification_confirmation,seed_v1
seed-0150,Can you offer a fist bump?,motion_query,social_interaction_touch,seed_v1
seed-0151,Set the container on the scale.,motion_query,workshop_lab_motion,seed_v1
seed-0152,Can you make this sentence sound friendlier?,chat,translation_language,seed_v1
seed-0153,Walk me to the meeting room.,motion_query,navigation_guiding_by_motion,seed_v1
seed-0154,Indicate the correct shelf with your hand.,motion_query,pointing_reference,seed_v1
seed-0155,Carry the tray to the counter.,motion_query,delivery_fetch,seed_v1
seed-0156,Why do people like music?,chat,opinions_reflection,seed_v1
seed-0157,Can you describe how you would wave?,chat,action_capability_discussion,seed_v1
seed-0158,Write the answer on the board.,motion_query,classroom_motion,seed_v1
seed-0159,Make a calm reassuring gesture.,motion_query,expressive_emotion_gesture,seed_v1
seed-0160,Demonstrate how to wave someone over.,motion_query,demonstration_instructional,seed_v1
seed-0161,Follow the ball with your gaze.,motion_query,attention_and_gaze,seed_v1
seed-0162,Make a proud victory pose.,motion_query,expressive_emotion_gesture,seed_v1
seed-0163,How do I find the front desk?,chat,directions_navigation_verbal,seed_v1
seed-0164,Tell me a clean joke.,chat,entertainment_conversation,seed_v1
seed-0165,Perform a slow arm circle.,motion_query,exercise_stretch_demo,seed_v1
seed-0166,Press the green button.,motion_query,object_manipulation,seed_v1
seed-0167,Can you respond with motion only?,motion_query,ambiguous_but_action_required,seed_v1
seed-0168,Make up a riddle about a clock.,chat,creative_writing,seed_v1
seed-0169,Can you invent a name for my robot assistant?,chat,creative_writing,seed_v1
seed-0170,Open the drawer if you can.,motion_query,object_manipulation,seed_v1
seed-0171,Shake your head to say no.,motion_query,yes_no_gestures,seed_v1
seed-0172,Can you remind me what I said about the grocery list?,chat,reminders_information_only,seed_v1
seed-0173,Take this cup to the sink.,motion_query,delivery_fetch,seed_v1
seed-0174,Stand beside the speaker and gesture to them.,motion_query,ceremony_presentation,seed_v1
seed-0175,Place the sample on the tray.,motion_query,workshop_lab_motion,seed_v1
seed-0176,"Hello there, who am I talking to?",chat,greeting_small_talk,seed_v1
seed-0177,Demonstrate how to warm up before running.,motion_query,exercise_stretch_demo,seed_v1
seed-0178,Can you gesture toward the person speaking?,motion_query,pointing_reference,seed_v1
seed-0179,How much is a 20 percent tip on 38 dollars?,chat,math_calculation,seed_v1
seed-0180,Can you escort the visitor to the lobby?,motion_query,navigation_guiding_by_motion,seed_v1
seed-0181,Stretch your arms overhead.,motion_query,exercise_stretch_demo,seed_v1
seed-0182,Please give me a friendly wave.,motion_query,greeting_gestures,seed_v1
seed-0183,Show agreement with a simple gesture.,motion_query,yes_no_gestures,seed_v1
seed-0184,Show a simple two-step dance.,motion_query,dance_performance,seed_v1
seed-0185,Do you understand spoken instructions?,chat,identity_capabilities,seed_v1
seed-0186,What is your view on lifelong learning?,chat,opinions_reflection,seed_v1
seed-0187,Repeat the gesture I just made.,motion_query,imitation_mimicry,seed_v1
seed-0188,Rotate your wrist slowly.,motion_query,calibration_robot_control,seed_v1
seed-0189,Show me a balance pose.,motion_query,exercise_stretch_demo,seed_v1
seed-0190,Collect the cups from the meeting room.,motion_query,cleaning_tidying,seed_v1
seed-0191,Unveil the sign by pulling the cover.,motion_query,ceremony_presentation,seed_v1
seed-0192,Greet the guest with a hand wave.,motion_query,greeting_gestures,seed_v1
seed-0193,Can you carry this box to the shelf?,motion_query,object_manipulation,seed_v1
seed-0194,Ask me a trivia question.,chat,entertainment_conversation,seed_v1
seed-0195,How can I store cleaning chemicals safely?,chat,safety_advice,seed_v1
seed-0196,Can you explain your limitations?,chat,identity_capabilities,seed_v1
seed-0197,What game can we play without moving?,chat,entertainment_conversation,seed_v1
seed-0198,How can I thank a host after dinner?,chat,social_etiquette,seed_v1
seed-0199,Demonstrate the science experiment motion.,motion_query,classroom_motion,seed_v1
seed-0200,Can you review my project plan conceptually?,chat,work_study_assistance,seed_v1
seed-0201,How do I recover a forgotten password safely?,chat,troubleshooting_help,seed_v1
seed-0202,Show me your best robot dance.,motion_query,dance_performance,seed_v1
seed-0203,Can you match my walking pace?,motion_query,imitation_mimicry,seed_v1
seed-0204,Hold up the certificate for the photo.,motion_query,ceremony_presentation,seed_v1
seed-0205,Face the window.,motion_query,orientation_turning,seed_v1
seed-0206,"If the meeting is canceled, how should I use the time?",chat,hypothetical_scenarios,seed_v1
seed-0207,Watch the doorway.,motion_query,attention_and_gaze,seed_v1
seed-0208,Can you follow me to the kitchen?,motion_query,locomotion_basic,seed_v1
seed-0209,What did you mean by 'calibrate'?,chat,clarification_confirmation,seed_v1
seed-0210,What is the square root of 144?,chat,math_calculation,seed_v1
seed-0211,How does a microwave heat food?,chat,explanation_learning,seed_v1
seed-0212,What is your current connection status?,chat,sensor_status_verbal,seed_v1
seed-0213,Raise your hand to say hi.,motion_query,greeting_gestures,seed_v1
seed-0214,What should I do during a small kitchen fire?,chat,safety_advice,seed_v1
seed-0215,Can you scan the room from left to right?,motion_query,attention_and_gaze,seed_v1
seed-0216,Stir the soup gently.,motion_query,kitchen_food_motion,seed_v1
seed-0217,Track my hand with your head.,motion_query,attention_and_gaze,seed_v1
seed-0218,Move your head from side to side.,motion_query,calibration_robot_control,seed_v1
seed-0219,How can I prepare for a visitor tomorrow?,chat,planning_scheduling,seed_v1
seed-0220,Can you correct this sentence: I has a dog?,chat,translation_language,seed_v1
seed-0221,Who painted the Mona Lisa?,chat,factual_general_knowledge,seed_v1
seed-0222,Look down at the floor marker.,motion_query,attention_and_gaze,seed_v1
seed-0223,Can you tell me the route without pointing?,chat,no_motion_instruction,seed_v1
seed-0224,Can you help me respond to a compliment?,chat,social_etiquette,seed_v1
seed-0225,What is a sensible plan for preparing dinner?,chat,planning_scheduling,seed_v1
seed-0226,Why is my phone battery draining so fast?,chat,troubleshooting_help,seed_v1
seed-0227,What causes tides in the ocean?,chat,factual_general_knowledge,seed_v1
seed-0228,Bring the cane from the corner.,motion_query,accessibility_assistance_motion,seed_v1
seed-0229,Draft a funny birthday message.,chat,creative_writing,seed_v1
seed-0230,Can you demonstrate a calf stretch?,motion_query,exercise_stretch_demo,seed_v1
seed-0231,Raise your left arm for calibration.,motion_query,calibration_robot_control,seed_v1
seed-0232,Convert 72 degrees Fahrenheit to Celsius.,chat,math_calculation,seed_v1
seed-0233,Offer your hand to the guest.,motion_query,social_interaction_touch,seed_v1
seed-0234,Show me the left door with a point.,motion_query,pointing_reference,seed_v1
seed-0235,"What should I cook with rice, eggs, and spinach?",chat,recommendations_preferences,seed_v1
seed-0236,What tasks are you designed for?,chat,identity_capabilities,seed_v1
seed-0237,Stand next to the poster.,motion_query,classroom_motion,seed_v1
seed-0238,Do you need internet access to answer questions?,chat,identity_capabilities,seed_v1
seed-0239,Can you suggest a simple workout plan I can read first?,chat,recommendations_preferences,seed_v1
seed-0240,Hand me a clean napkin.,motion_query,kitchen_food_motion,seed_v1
seed-0241,Do three jumping jacks.,motion_query,exercise_stretch_demo,seed_v1
seed-0242,Which indoor plant is easy to care for?,chat,recommendations_preferences,seed_v1
seed-0243,Step back a little.,motion_query,locomotion_basic,seed_v1
seed-0244,How can I make my computer run faster?,chat,troubleshooting_help,seed_v1
seed-0245,What makes a conversation feel respectful?,chat,opinions_reflection,seed_v1
seed-0246,Can you summarize my preferences so far?,chat,personalization_memory,seed_v1
seed-0247,Please retrieve my glasses from the desk.,motion_query,delivery_fetch,seed_v1
seed-0248,What does it mean for a robot to keep balance?,chat,action_capability_discussion,seed_v1
seed-0249,Can you show me instead of telling me?,motion_query,ambiguous_but_action_required,seed_v1
seed-0250,Pretend to throw an invisible ball.,motion_query,games_play_motion,seed_v1
seed-0251,Give me a bedtime story idea.,chat,creative_writing,seed_v1
seed-0252,What should I pack for a two-day trip?,chat,planning_scheduling,seed_v1
seed-0253,Pick up the dropped keys.,motion_query,accessibility_assistance_motion,seed_v1
seed-0254,Move the pan off the burner.,motion_query,kitchen_food_motion,seed_v1
seed-0255,Which hallway leads to the conference room?,chat,directions_navigation_verbal,seed_v1
seed-0256,Turn your head toward the screen.,motion_query,attention_and_gaze,seed_v1
seed-0257,Pick up the papers from the floor.,motion_query,cleaning_tidying,seed_v1
seed-0258,Can you tell me what sensors you have?,chat,identity_capabilities,seed_v1
seed-0259,Move away from the edge.,motion_query,stop_stay_safety,seed_v1
seed-0260,Give me a thumbs down if that is wrong.,motion_query,yes_no_gestures,seed_v1
seed-0261,Can you imitate this dance step?,motion_query,imitation_mimicry,seed_v1
seed-0262,What reminder phrase should I put on a sticky note?,chat,reminders_information_only,seed_v1
seed-0263,Dance for ten seconds.,motion_query,dance_performance,seed_v1
seed-0264,Please demonstrate your answer.,motion_query,ambiguous_but_action_required,seed_v1
seed-0265,Can you teach me the basics of probability?,chat,explanation_learning,seed_v1
seed-0266,Suppose I cannot find my badge; what should I do?,chat,hypothetical_scenarios,seed_v1
seed-0267,Put the toy back in the bin.,motion_query,object_manipulation,seed_v1
seed-0268,Give us a celebratory dance.,motion_query,dance_performance,seed_v1
seed-0269,Can you show how to scan a room?,motion_query,demonstration_instructional,seed_v1
seed-0270,Press the emergency stop button.,motion_query,workshop_lab_motion,seed_v1
seed-0271,What should I check if the printer is offline?,chat,troubleshooting_help,seed_v1
seed-0272,Stop moving right now.,motion_query,stop_stay_safety,seed_v1
seed-0273,Move the chair so I can sit.,motion_query,accessibility_assistance_motion,seed_v1
seed-0274,What should I do if I smell gas?,chat,safety_advice,seed_v1
seed-0275,What kinds of gestures can you perform?,chat,action_capability_discussion,seed_v1
seed-0276,Show me what yes looks like.,motion_query,ambiguous_but_action_required,seed_v1
seed-0277,Can you summarize my errands so I remember them?,chat,reminders_information_only,seed_v1
seed-0278,Use a gesture to explain it.,motion_query,ambiguous_but_action_required,seed_v1
seed-0279,Lead me to the elevator.,motion_query,navigation_guiding_by_motion,seed_v1
seed-0280,Describe your arm range of motion.,chat,action_capability_discussion,seed_v1
seed-0281,Lift your right hand to shoulder height.,motion_query,calibration_robot_control,seed_v1
seed-0282,Why is patience important?,chat,opinions_reflection,seed_v1
seed-0283,Compose a haiku about rain.,chat,creative_writing,seed_v1
seed-0284,Write a short poem about sunrise.,chat,creative_writing,seed_v1
seed-0285,What is a healthy snack idea?,chat,recommendations_preferences,seed_v1
seed-0286,Show disappointment with your body language.,motion_query,expressive_emotion_gesture,seed_v1
seed-0287,Please describe it instead of demonstrating.,chat,no_motion_instruction,seed_v1
seed-0288,Pick up the blue cup.,motion_query,object_manipulation,seed_v1
seed-0289,Do you remember my coffee order?,chat,personalization_memory,seed_v1
seed-0290,Can you make a study quiz about biology?,chat,work_study_assistance,seed_v1
seed-0291,Can you draft a respectful disagreement?,chat,social_etiquette,seed_v1
seed-0292,Point the camera at the circuit board.,motion_query,workshop_lab_motion,seed_v1
seed-0293,Deliver this note to Sam.,motion_query,delivery_fetch,seed_v1
seed-0294,Can you demonstrate a squat?,motion_query,exercise_stretch_demo,seed_v1
seed-0295,Hold out your hand for the badge.,motion_query,social_interaction_touch,seed_v1
seed-0296,Can you help me check this budget total?,chat,math_calculation,seed_v1
seed-0297,Please look away from the screen.,motion_query,orientation_turning,seed_v1
seed-0298,Can you explain basic first aid for a minor cut?,chat,safety_advice,seed_v1
seed-0299,Put the plate on the counter.,motion_query,kitchen_food_motion,seed_v1
seed-0300,Give me a high five.,motion_query,social_interaction_touch,seed_v1
seed-0301,Can you help me debug this error message?,chat,troubleshooting_help,seed_v1
seed-0302,What do you see in front of you?,chat,sensor_status_verbal,seed_v1
seed-0303,Why is my microphone not working in calls?,chat,troubleshooting_help,seed_v1
seed-0304,Which movie would be good for a rainy evening?,chat,recommendations_preferences,seed_v1
seed-0305,Can you act out placing dishes on a shelf?,motion_query,demonstration_instructional,seed_v1
seed-0306,Let's have a conversation about movies.,chat,entertainment_conversation,seed_v1
seed-0307,What should I do if the elevator is busy?,chat,hypothetical_scenarios,seed_v1
seed-0308,Can you list the deadlines I mentioned?,chat,reminders_information_only,seed_v1
seed-0309,Can you physically show me where the printer is?,motion_query,navigation_guiding_by_motion,seed_v1
seed-0310,Give me the explanation while remaining still.,chat,no_motion_instruction,seed_v1
seed-0311,Can you recommend a beginner-friendly programming project?,chat,recommendations_preferences,seed_v1
seed-0312,I feel lonely right now.,chat,emotional_support,seed_v1
seed-0313,Do you think routines are helpful?,chat,opinions_reflection,seed_v1
seed-0314,How do I reset a stuck application?,chat,troubleshooting_help,seed_v1
seed-0315,Do not move; just tell me the answer.,chat,no_motion_instruction,seed_v1
seed-0316,What are your main capabilities?,chat,identity_capabilities,seed_v1
seed-0317,Freeze in place.,motion_query,stop_stay_safety,seed_v1
seed-0318,Should I touch a wet power outlet?,chat,safety_advice,seed_v1
seed-0319,What are signs that I should drink more water?,chat,health_wellness_info,seed_v1
seed-0320,Give me three synonyms for 'quick'.,chat,translation_language,seed_v1
seed-0321,Pull the lever down.,motion_query,workshop_lab_motion,seed_v1
seed-0322,Can you summarize your answer?,chat,clarification_confirmation,seed_v1
seed-0323,What languages can you communicate in?,chat,identity_capabilities,seed_v1
seed-0324,What qualities make a good teammate?,chat,opinions_reflection,seed_v1
seed-0325,Back away from the spill.,motion_query,stop_stay_safety,seed_v1
seed-0326,How might a robot learn a new household routine?,chat,hypothetical_scenarios,seed_v1
seed-0327,Back up until you are clear of the table.,motion_query,locomotion_basic,seed_v1
seed-0328,Use your arm to signal approval.,motion_query,yes_no_gestures,seed_v1
seed-0329,Can you make the response physical?,motion_query,ambiguous_but_action_required,seed_v1
seed-0330,Can you help me reframe a mistake?,chat,emotional_support,seed_v1
seed-0331,Follow my clapping rhythm.,motion_query,imitation_mimicry,seed_v1
seed-0332,Which door should I use for the lab?,chat,directions_navigation_verbal,seed_v1
seed-0333,Mimic my head tilt.,motion_query,imitation_mimicry,seed_v1
seed-0334,What would you say to a child asking about robots?,chat,hypothetical_scenarios,seed_v1
seed-0335,Can you dance in place?,motion_query,dance_performance,seed_v1
seed-0336,Raise your hand when you are ready.,motion_query,classroom_motion,seed_v1
seed-0337,Play charades with me.,motion_query,games_play_motion,seed_v1
seed-0338,Sweep this small area.,motion_query,cleaning_tidying,seed_v1
seed-0339,Point toward the kitchen.,motion_query,pointing_reference,seed_v1
seed-0340,Please answer with words only.,chat,no_motion_instruction,seed_v1
seed-0341,Demonstrate how to tie an imaginary knot.,motion_query,demonstration_instructional,seed_v1
seed-0342,Can you look at the whiteboard?,motion_query,orientation_turning,seed_v1
seed-0343,Turn the knob clockwise.,motion_query,workshop_lab_motion,seed_v1
seed-0344,Can you help me brainstorm character names?,chat,creative_writing,seed_v1
seed-0345,Can you compare remote work and office work?,chat,opinions_reflection,seed_v1
seed-0346,Can you tell me how to get to the nearest elevator?,chat,directions_navigation_verbal,seed_v1
seed-0347,Close the oven door.,motion_query,kitchen_food_motion,seed_v1
seed-0348,Are you having a good day?,chat,greeting_small_talk,seed_v1
seed-0349,Can you do a safe elbow bump?,motion_query,social_interaction_touch,seed_v1
seed-0350,Can you talk about your walking speed?,chat,action_capability_discussion,seed_v1
seed-0351,What should I include in a status update?,chat,work_study_assistance,seed_v1
seed-0352,Move aside so I can pass.,motion_query,locomotion_basic,seed_v1
seed-0353,Can you adapt your answers to my reading level?,chat,personalization_memory,seed_v1
seed-0354,Can you help me outline this report?,chat,work_study_assistance,seed_v1
seed-0355,Act it out for me.,motion_query,ambiguous_but_action_required,seed_v1
seed-0356,What should I say to welcome a new teammate?,chat,social_etiquette,seed_v1
seed-0357,Turn in place for sensor calibration.,motion_query,calibration_robot_control,seed_v1
seed-0358,What would be a good icebreaker question?,chat,entertainment_conversation,seed_v1
seed-0359,What are general tips for better sleep?,chat,health_wellness_info,seed_v1
seed-0360,What questions should I ask in the interview?,chat,work_study_assistance,seed_v1
seed-0361,Can you do a small welcome gesture?,motion_query,greeting_gestures,seed_v1
seed-0362,Can we play a word guessing game verbally?,chat,entertainment_conversation,seed_v1
seed-0363,Put the dishes in the rack.,motion_query,cleaning_tidying,seed_v1
seed-0364,What are some good ways to relax after work?,chat,recommendations_preferences,seed_v1
seed-0365,Fetch the small towel.,motion_query,delivery_fetch,seed_v1
seed-0366,What should I remember before leaving the house?,chat,reminders_information_only,seed_v1
seed-0367,Can you throw this wrapper in the bin?,motion_query,cleaning_tidying,seed_v1
seed-0368,Pivot ninety degrees to the right.,motion_query,orientation_turning,seed_v1
seed-0369,Open the refrigerator door.,motion_query,kitchen_food_motion,seed_v1
seed-0370,How would you point to an object if asked?,chat,action_capability_discussion,seed_v1
seed-0371,Point to where I should stand.,motion_query,pointing_reference,seed_v1
seed-0372,Please bow politely to welcome them.,motion_query,greeting_gestures,seed_v1
seed-0373,What does fairness mean in everyday life?,chat,opinions_reflection,seed_v1
